N,firms,r2_within,r2_overall,manufacturing_post2021_coef,manufacturing_post2021_se,manufacturing_post2021_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,robustness_type,label,fe_spec
25813,5254,0.0740541987675607,0.053973696121622616,0.27591136789012116,0.06112410014527512,6.398318703082495e-06,-0.9958987259027248,0.06428310118468832,0.0,-0.4315323288840802,0.1842726813499236,0.01919977877280643,0.14991586846170374,0.22780980391833588,0.510497503481034,,,,eff_grant_rd_10k,stronger_fe,,Firm+Year
25813,5254,,,0.29033985537993673,0.06323321100002535,4.425484074088715e-06,,,,,,,,,,,,,eff_grant_rd_10k,stronger_fe,,Firm+Year+Prov×Year
25813,5254,0.06573788400533387,0.04699499415494768,0.17059985180158418,0.04985807035238513,0.0006234981246531213,-0.7928433095556285,0.04787002840281865,0.0,-0.03524610520831196,0.13841527792026878,0.7990034930202254,0.15440665647874405,0.17294200136215243,0.3719622362558268,,,,eff_apply_staff,stronger_fe,,Firm+Year
25813,5254,,,0.16137427250495393,0.05117799189622269,0.0016172731266856921,,,,,,,,,,,,,eff_apply_staff,stronger_fe,,Firm+Year+Prov×Year
25813,5254,0.06546272765666283,0.048490628158866955,0.18453345309269675,0.04909345446461043,0.0001711890769522384,-0.7704417720397122,0.04746492968120522,0.0,-0.1050649730526102,0.13341062773828744,0.430980312038201,0.2462630183301333,0.1697445742868751,0.14685477779151057,,,,eff_grant_staff,stronger_fe,,Firm+Year
25813,5254,,,0.1964780274326296,0.05055172803789116,0.00010194937585183972,,,,,,,,,,,,,eff_grant_staff,stronger_fe,,Firm+Year+Prov×Year
25813,5254,0.10183678839495769,0.07554654889439516,-0.2883172579984048,0.056776134697107426,3.8447517680673116e-07,1.0648435161413377,0.06289587761735534,0.0,0.35803638862896414,0.17679438552141624,0.04286414621184376,-0.03819654849231198,0.21680179408741934,0.8601527888499736,,,,ln_rd_expense_10k,stronger_fe,,Firm+Year
25813,5254,,,-0.2907544219015936,0.058737454877172565,7.477976364800298e-07,,,,,,,,,,,,,ln_rd_expense_10k,stronger_fe,,Firm+Year+Prov×Year
25813,5254,0.10788053333782832,0.08106759438134192,-0.19693934320098025,0.04431363537496462,8.867435808745938e-06,0.8393865622783243,0.0458712850457649,0.0,0.03156903279749412,0.12185155774543496,0.7955778126655355,-0.13454369836074165,0.15191446927863522,0.3758142208880546,,,,ln_rd_staff,stronger_fe,,Firm+Year
25813,5254,,,-0.19689259395428685,0.04515501047886951,1.304787412292896e-05,,,,,,,,,,,,,ln_rd_staff,stronger_fe,,Firm+Year+Prov×Year
